vehicles,sum_vehicles,pers5,pers6,ValidCombos,2s,3s,4s,5s,6s,4+3+3 Flag,5+4 Flag,combos
"[1, 5, 5, 5, 5]",21,0,3,True,True,True,False,False,False,False,False,"5,5,5|1,5"
"[2, 2, 2, 2, 2]",10,0,1,True,False,True,False,False,False,False,False,"2,2,2"
"[2, 2, 2, 2, 3]",11,0,1,True,False,True,False,False,False,False,False,"2,2,3"
"[2, 2, 2, 2, 4]",12,0,2,True,True,True,False,False,False,False,False,"2,2,2|2,4"
"[2, 2, 2, 2, 5]",13,0,2,True,True,True,False,False,False,False,False,"2,2,2|2,5"
"[2, 2, 2, 3, 3]",12,0,2,True,True,True,False,False,False,False,False,"2,2,2|3,3"
"[2, 2, 2, 3, 4]",13,0,2,True,True,True,False,False,False,False,False,"2,2,2|3,4"
"[2, 2, 2, 3, 5]",14,0,2,True,True,True,False,False,False,False,False,"2,2,2|3,5"
"[2, 2, 2, 4, 4]",14,0,2,True,True,False,False,False,False,False,False,"2,4|2,4"
"[2, 2, 2, 4, 5]",15,0,2,True,True,False,False,False,False,False,False,"2,4|2,5"
"[2, 2, 2, 5, 5]",16,0,2,True,True,False,False,False,False,False,False,"2,5|2,5"
"[2, 2, 3, 3, 3]",13,0,2,True,True,True,False,False,False,False,False,"2,2,3|3,3"
"[2, 2, 3, 3, 4]",14,0,2,True,True,False,False,False,False,False,False,"3,3|2,4"
"[2, 2, 3, 3, 5]",15,0,2,True,True,False,False,False,False,False,False,"3,3|2,5"
"[2, 2, 3, 4, 4]",15,0,2,True,True,False,False,False,False,False,False,"2,4|3,4"
"[2, 2, 3, 4, 5]",16,0,2,True,True,False,False,False,False,False,False,"3,4|2,5"
"[2, 2, 3, 5, 5]",17,0,2,True,True,False,False,False,False,False,False,"2,5|3,5"
"[2, 2, 4, 4, 4]",16,0,2,True,True,False,False,False,False,False,False,"2,4|4,4"
"[2, 2, 4, 4, 5]",17,0,2,True,True,False,False,False,False,False,False,"2,4|4,5"
"[2, 2, 4, 5, 5]",18,0,3,True,True,True,False,False,False,False,False,"2,5,5|2,4"
"[2, 2, 5, 5, 5]",19,0,3,True,True,True,False,False,False,False,False,"2,5,5|2,5"
"[2, 3, 3, 3, 3]",14,0,2,True,True,False,False,False,False,False,False,"3,3|3,3"
"[2, 3, 3, 3, 4]",15,0,2,True,True,False,False,False,False,False,False,"3,3|3,4"
"[2, 3, 3, 3, 5]",16,0,2,True,True,False,False,False,False,False,False,"3,3|3,5"
"[2, 3, 3, 4, 4]",16,0,2,True,True,False,False,False,False,False,False,"3,4|3,4"
"[2, 3, 3, 4, 5]",17,0,2,True,True,False,False,False,False,False,False,"3,4|3,5"
"[2, 3, 3, 5, 5]",18,0,3,True,True,True,False,False,False,False,False,"2,5,5|3,3"
"[2, 3, 4, 4, 4]",17,0,2,True,True,False,False,False,False,False,False,"3,4|4,4"
"[2, 3, 4, 4, 5]",18,0,3,True,True,True,False,False,False,False,False,"3,4,5|2,4"
"[2, 3, 4, 5, 5]",19,0,3,True,True,True,False,False,False,False,False,"2,5,5|3,4"
"[2, 3, 5, 5, 5]",20,0,3,True,True,True,False,False,False,False,False,"2,5,5|3,5"
"[2, 4, 4, 4, 4]",18,0,3,True,True,True,False,False,False,False,False,"4,4,4|2,4"
"[2, 4, 4, 4, 5]",19,0,3,True,True,True,False,False,False,False,False,"4,4,4|2,5"
"[2, 4, 4, 5, 5]",20,0,3,True,True,True,False,False,False,False,False,"2,5,5|4,4"
"[2, 4, 5, 5, 5]",21,0,3,True,True,True,False,False,False,False,False,"2,5,5|4,5"
"[2, 5, 5, 5, 5]",22,0,3,True,True,True,False,False,False,False,False,"2,5,5|5,5"
"[3, 3, 3, 3, 3]",15,0,2,True,True,False,False,False,False,False,False,"3,3|3,3"
"[3, 3, 3, 3, 4]",16,0,2,True,True,False,False,False,False,False,False,"3,3|3,4"
"[3, 3, 3, 3, 5]",17,0,2,True,True,False,False,False,False,False,False,"3,3|3,5"
"[3, 3, 3, 4, 4]",17,0,2,True,True,False,False,False,False,False,False,"3,4|3,4"
"[3, 3, 3, 4, 5]",18,0,3,True,True,True,False,False,False,False,False,"3,4,5|3,3"
"[3, 3, 3, 5, 5]",19,0,3,True,True,True,False,False,False,False,False,"3,5,5|3,3"
"[3, 3, 4, 4, 4]",18,0,3,True,True,True,False,False,False,False,False,"4,4,4|3,3"
"[3, 3, 4, 4, 5]",19,0,3,True,True,True,False,False,False,False,False,"3,4,5|3,4"
"[3, 3, 4, 5, 5]",20,0,3,True,True,True,False,False,False,False,False,"3,4,5|3,5"
"[3, 3, 5, 5, 5]",21,0,3,True,True,True,False,False,False,False,False,"3,5,5|3,5"
"[3, 4, 4, 4, 4]",19,0,3,True,True,True,False,False,False,False,False,"4,4,4|3,4"
"[3, 4, 4, 4, 5]",20,0,3,True,True,True,False,False,False,False,False,"3,4,5|4,4"
"[3, 4, 4, 5, 5]",21,0,3,True,True,True,False,False,False,False,False,"3,4,5|4,5"
"[3, 4, 5, 5, 5]",22,0,3,True,True,True,False,False,False,False,False,"3,4,5|5,5"
"[3, 5, 5, 5, 5]",23,0,3,True,True,True,False,False,False,False,False,"3,5,5|5,5"
"[4, 4, 4, 4, 4]",20,0,3,True,True,True,False,False,False,False,False,"4,4,4|4,4"
"[4, 4, 4, 4, 5]",21,0,3,True,True,True,False,False,False,False,False,"4,4,4|4,5"
"[4, 4, 4, 5, 5]",22,0,3,True,True,True,False,False,False,False,False,"4,4,4|5,5"
"[4, 4, 5, 5, 5]",23,0,3,True,True,True,False,False,False,False,False,"4,4,5|5,5"
"[4, 5, 5, 5, 5]",24,0,4,True,False,False,False,True,False,False,False,"4,5,5,5,5"
"[5, 5, 5, 5, 5]",25,0,4,True,False,False,False,True,False,False,False,"5,5,5,5,5"
